"","nameTeam","namePlayer","number of games","stat","mean","standard deviation","median","trimmed","mad","min","max","range","skew","kurtosis","se","get this number or more"
"1798","Utah Jazz","Rudy Gobert",14,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1799","Washington Wizards","Rui Hachimura",7,"threes",0.5714,0.7868,0,0.5714,0,0,2,2,0.6824,-1.2633,0.2974,-0.2154
"1800","Washington Wizards","Russell Westbrook",7,"threes",1.4286,1.2724,1,1.4286,1.4826,0,3,3,0.1359,-1.8719,0.4809,0.1562
"1801","Chicago Bulls","Ryan Arcidiacono",4,"threes",1.25,1.2583,1,1.25,0.7413,0,3,3,0.4235,-1.8205,0.6292,-0.00829999999999997
"1802","Detroit Pistons","Saben Lee",3,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1803","Detroit Pistons","Saddiq Bey",12,"threes",2.1667,1.8007,2,2,1.4826,0,6,6,0.8009,-0.3951,0.5198,0.366
"1804","Milwaukee Bucks","Sam Merrill",7,"threes",0.5714,0.7868,0,0.5714,0,0,2,2,0.6824,-1.2633,0.2974,-0.2154
"1805","Memphis Grizzlies","Sean McDermott",3,"threes",0.3333,0.5774,0,0.3333,0,0,1,1,0.3849,-2.3333,0.3333,-0.2441
"1806","Detroit Pistons","Sekou Doumbouya",12,"threes",0.5833,0.9962,0,0.4,0,0,3,3,1.3077,0.3102,0.2876,-0.4129
"1807","Boston Celtics","Semi Ojeleye",11,"threes",1.2727,1.2721,1,1.2222,1.4826,0,3,3,0.3329,-1.6983,0.3835,0.000599999999999934
"1808","LA Clippers","Serge Ibaka",13,"threes",1,1,1,0.9091,1.4826,0,3,3,0.4615,-1.1538,0.2774,0
"1809","Philadelphia 76ers","Seth Curry",8,"threes",3.125,1.6421,3,3.125,1.4826,1,6,5,0.5055,-1.2073,0.5806,1.4829
"1810","Oklahoma City Thunder","Shai Gilgeous-Alexander",13,"threes",1.7692,0.9268,2,1.8182,1.4826,0,3,3,-0.1647,-1.1134,0.2571,0.8424
"1811","Philadelphia 76ers","Shake Milton",11,"threes",1.4545,0.9342,1,1.4444,0,0,3,3,0.4534,-1.0523,0.2817,0.5203
"1812","Utah Jazz","Shaquille Harrison",7,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1813","New Orleans Pelicans","Sindarius Thornwell",4,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1814","Atlanta Hawks","Skylar Mays",3,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1815","Atlanta Hawks","Solomon Hill",13,"threes",1.3077,1.4936,1,1.1818,1.4826,0,4,4,0.4828,-1.5324,0.4142,-0.1859
"1816","Brooklyn Nets","Spencer Dinwiddie",3,"threes",0.6667,0.5774,1,0.6667,0,0,1,1,-0.3849,-2.3333,0.3333,0.0892999999999999
"1817","Toronto Raptors","Stanley Johnson",11,"threes",0.6364,0.809,0,0.5556,0,0,2,2,0.6299,-1.3127,0.2439,-0.1726
"1818","Golden State Warriors","Stephen Curry",13,"threes",4.0769,2.4651,4,3.9091,1.4826,1,9,8,0.5349,-0.8204,0.6837,1.6118
"1819","Houston Rockets","Sterling Brown",10,"threes",1.7,1.1595,2,1.75,1.4826,0,3,3,-0.2463,-1.5739,0.3667,0.5405
"1820","New Orleans Pelicans","Steven Adams",13,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
