"","nameTeam","namePlayer","pts","ast","treb","PRA"
"346","Dallas Mavericks","Tim Hardaway Jr.",10,2,4,16
"347","Dallas Mavericks","James Johnson",4,4,1,9
"348","Los Angeles Lakers","Marc Gasol",2,0,9,11
"349","Dallas Mavericks","Willie Cauley-Stein",0,0,2,2
"350","Dallas Mavericks","Tyrell Terry",2,1,0,3
"351","Los Angeles Lakers","Quinn Cook",0,0,0,0
"352","Dallas Mavericks","Dwight Powell",11,1,3,15
"353","Los Angeles Lakers","LeBron James",22,10,7,39
"354","Dallas Mavericks","Maxi Kleber",5,0,5,10
"355","Dallas Mavericks","Wes Iwundu",2,0,0,2
"356","Dallas Mavericks","Trey Burke",17,2,1,20
"357","Dallas Mavericks","Dorian Finney-Smith",10,0,2,12
"358","Los Angeles Lakers","Kentavious Caldwell-Pope",8,2,0,10
"359","Los Angeles Lakers","Alfonzo McKinnie",3,0,1,4
"360","Los Angeles Lakers","Markieff Morris",9,2,7,18
"361","Dallas Mavericks","Josh Richardson",17,2,2,21
"362","Boston Celtics","Javonte Green",2,0,2,4
"363","Boston Celtics","Daniel Theis",2,3,5,10
"364","Brooklyn Nets","Landry Shamet",5,1,3,9
"365","Brooklyn Nets","Rodions Kurucs",0,0,1,1
"366","Boston Celtics","Tremont Waters",0,1,0,1
"367","Boston Celtics","Jeff Teague",0,2,1,3
"368","Brooklyn Nets","Reggie Perry",0,1,0,1
"369","Brooklyn Nets","Taurean Prince",5,0,0,5
"370","Brooklyn Nets","Bruce Brown",0,0,1,1
"371","Brooklyn Nets","Kevin Durant",29,3,4,36
"372","Brooklyn Nets","Joe Harris",9,0,1,10
"373","Boston Celtics","Aaron Nesmith",3,0,0,3
"374","Brooklyn Nets","Caris LeVert",10,3,1,14
"375","Boston Celtics","Semi Ojeleye",9,1,4,14
"376","Boston Celtics","Payton Pritchard",7,1,2,10
"377","Boston Celtics","Tristan Thompson",8,0,8,16
"378","Brooklyn Nets","Spencer Dinwiddie",6,2,4,12
"379","Brooklyn Nets","Kyrie Irving",37,8,6,51
"380","Boston Celtics","Jaylen Brown",27,3,8,38
"381","Boston Celtics","Jayson Tatum",20,2,8,30
"382","Brooklyn Nets","Jarrett Allen",9,1,11,21
"383","Brooklyn Nets","DeAndre Jordan",4,2,7,13
"384","Brooklyn Nets","Tyler Johnson",3,0,0,3
"385","Brooklyn Nets","Timothe Luwawu-Cabarrot",4,0,0,4
"386","Brooklyn Nets","Jeff Green",2,0,4,6
"387","Boston Celtics","Carsen Edwards",0,0,0,0
"388","Boston Celtics","Marcus Smart",13,6,3,22
"389","Boston Celtics","Grant Williams",4,4,6,14
"390","Golden State Warriors","Mychal Mulder",3,0,3,6
"391","Milwaukee Bucks","Donte DiVincenzo",13,0,4,17
"392","Milwaukee Bucks","Giannis Antetokounmpo",15,4,13,32
"393","Milwaukee Bucks","Thanasis Antetokounmpo",4,1,0,5
"394","Golden State Warriors","Brad Wanamaker",11,2,1,14
"395","Golden State Warriors","Stephen Curry",19,6,4,29
"396","Milwaukee Bucks","Bobby Portis",10,2,12,24
"397","Golden State Warriors","Andrew Wiggins",12,0,6,18
"398","Golden State Warriors","James Wiseman",18,0,8,26
"399","Milwaukee Bucks","Khris Middleton",31,5,4,40
"400","Milwaukee Bucks","Sam Merrill",6,4,3,13
"401","Milwaukee Bucks","Brook Lopez",8,0,4,12
"402","Golden State Warriors","Kent Bazemore",0,1,0,1
"403","Golden State Warriors","Kevon Looney",2,0,3,5
"404","Golden State Warriors","Jordan Poole",11,0,1,12
"405","Golden State Warriors","Kelly Oubre Jr.",3,1,5,9
"406","Golden State Warriors","Juan Toscano-Anderson",0,1,3,4
"407","Golden State Warriors","Damion Lee",9,1,2,12
"408","Golden State Warriors","Eric Paschall",7,1,2,10
"409","Milwaukee Bucks","Pat Connaughton",2,2,7,11
"410","Milwaukee Bucks","D.J. Augustin",13,1,0,14
"411","Golden State Warriors","Marquese Chriss",4,1,5,10
"412","Milwaukee Bucks","Torrey Craig",0,0,4,4
"413","Milwaukee Bucks","Jrue Holiday",12,6,4,22
"414","Milwaukee Bucks","Jordan Nwora",7,0,1,8
"415","Milwaukee Bucks","Bryn Forbes",8,0,0,8
"416","Milwaukee Bucks","D.J. Wilson",9,0,4,13
"417","Miami Heat","Duncan Robinson",23,0,5,28
"418","Miami Heat","Precious Achiuwa",11,2,3,16
"419","Miami Heat","Avery Bradley",12,4,2,18
"420","New Orleans Pelicans","Zion Williamson",32,1,14,47
"421","Miami Heat","Maurice Harkless",0,0,2,2
"422","Miami Heat","Goran Dragic",18,9,2,29
"423","New Orleans Pelicans","Brandon Ingram",28,3,2,33
"424","New Orleans Pelicans","Lonzo Ball",6,6,2,14
"425","Miami Heat","Andre Iguodala",6,3,7,16
"426","Miami Heat","Jimmy Butler",4,5,6,15
"427","New Orleans Pelicans","JJ Redick",8,0,2,10
"428","Miami Heat","Chris Silva",0,0,0,0
"429","New Orleans Pelicans","Steven Adams",6,1,9,16
"430","New Orleans Pelicans","Josh Hart",12,0,9,21
"431","Miami Heat","KZ Okpala",0,0,0,0
"432","Miami Heat","Tyler Herro",11,3,2,16
"433","Miami Heat","Bam Adebayo",17,2,4,23
"434","New Orleans Pelicans","Jaxson Hayes",0,1,1,2
"435","Miami Heat","Meyers Leonard",9,1,2,12
"436","New Orleans Pelicans","Nicolo Melli",1,0,0,1
"437","New Orleans Pelicans","Eric Bledsoe",5,6,2,13
"438","Minnesota Timberwolves","D'Angelo Russell",25,6,2,33
"439","Minnesota Timberwolves","Anthony Edwards",18,1,1,20
"440","Utah Jazz","Mike Conley",20,4,6,30
"441","Utah Jazz","Bojan Bogdanovic",9,1,7,17
